,AMZN,BRK.B,K,MSFT,XOM
2017-09-28 00:00:00-04:00,956.4,183.13,62.81,73.86,82.2
2017-09-29 00:00:00-04:00,960.49,183.17,62.35,74.45,81.98
2017-10-02 00:00:00-04:00,958.79,185.39,62.72,74.6,81.65
2017-10-03 00:00:00-04:00,957.06,185.75,62.03,74.27,81.73
2017-10-04 00:00:00-04:00,965.47,185.83,62.43,74.68,81.78
2017-10-05 00:00:00-04:00,981.14,187.11,62.72,75.97,82.07
2017-10-06 00:00:00-04:00,989.51,187.36,62.41,75.99,81.7
2017-10-09 00:00:00-04:00,990.99,187.48,61.04,76.3,82.01
2017-10-10 00:00:00-04:00,987.2,188.01,61.47,76.31,82.26
2017-10-11 00:00:00-04:00,995.0,187.43,61.25,76.41,82.63
2017-10-12 00:00:00-04:00,1001.07,186.21,62.39,77.13,82.41
2017-10-13 00:00:00-04:00,1003.44,187.36,61.95,77.5,82.43
2017-10-16 00:00:00-04:00,1006.34,187.985,61.91,77.66,82.8
2017-10-17 00:00:00-04:00,1008.99,187.41,61.76,77.57,82.95
2017-10-18 00:00:00-04:00,996.99,187.83,61.79,77.64,82.76
2017-10-19 00:00:00-04:00,986.6,187.19,61.72,77.92,82.75
2017-10-20 00:00:00-04:00,982.91,188.97,61.46,78.8,83.1
2017-10-23 00:00:00-04:00,966.34,189.44,61.57,78.85,83.27
2017-10-24 00:00:00-04:00,976.0,189.79,61.2,78.86,83.49
2017-10-25 00:00:00-04:00,972.91,188.71,60.545,78.64,83.17
2017-10-26 00:00:00-04:00,972.54,188.59,60.54,78.75,83.45
2017-10-27 00:00:00-04:00,1100.99,188.6,60.26,83.82,83.66
2017-10-30 00:00:00-04:00,1110.85,187.87,58.85,83.84,83.53
2017-10-31 00:00:00-04:00,1105.67,186.89,62.53,83.18,83.36
2017-11-01 00:00:00-04:00,1103.5,187.15,63.01,83.16,83.87
2017-11-02 00:00:00-04:00,1094.0,188.74,62.36,84.06,83.53
2017-11-03 00:00:00-04:00,1111.55,187.25,61.96,84.13,83.19
2017-11-06 00:00:00-05:00,1120.46,186.69,60.2,84.48,83.76
2017-11-07 00:00:00-05:00,1123.14,186.26,60.83,84.26,83.57
2017-11-08 00:00:00-05:00,1132.86,184.57,62.82,84.57,83.46
2017-11-09 00:00:00-05:00,1129.0,184.49,63.3,84.09,83.97
2017-11-10 00:00:00-05:00,1125.34,183.71,64.69,83.86,82.97
2017-11-13 00:00:00-05:00,1129.21,184.39,63.74,83.93,82.89
2017-11-14 00:00:00-05:00,1136.84,183.34,65.17,84.05,82.24
2017-11-15 00:00:00-05:00,1127.09,181.92,63.73,82.99,81.22
2017-11-16 00:00:00-05:00,1136.95,182.05,65.27,83.19,80.55
2017-11-17 00:00:00-05:00,1129.87,181.0,65.37,82.37,80.24
2017-11-20 00:00:00-05:00,1126.56,181.7,65.57,82.54,80.55
2017-11-21 00:00:00-05:00,1139.58,183.25,64.33,83.73,80.89
2017-11-22 00:00:00-05:00,1156.16,182.51,64.7,83.09,81.08
2017-11-24 00:00:00-05:00,1186.41,182.42,64.93,83.27,81.42
2017-11-27 00:00:00-05:00,1195.62,183.55,65.07,83.86,81.12
2017-11-28 00:00:00-05:00,1193.6,187.54,65.94,84.88,81.68
2017-11-29 00:00:00-05:00,1161.21,189.84,66.79,83.335,82.26
2017-11-30 00:00:00-05:00,1176.59,192.88,66.17,84.09,83.27
2017-12-01 00:00:00-05:00,1161.83,194.5,66.0,84.26,83.44
2017-12-04 00:00:00-05:00,1133.95,196.87,67.54,81.07,83.51
2017-12-05 00:00:00-05:00,1141.58,196.06,67.96,81.59,82.89
2017-12-06 00:00:00-05:00,1152.94,196.08,68.14,82.79,82.3
2017-12-07 00:00:00-05:00,1160.0,196.3,67.27,82.49,82.58
2017-12-08 00:00:00-05:00,1161.99,196.4,66.52,84.16,82.65
2017-12-11 00:00:00-05:00,1169.15,196.66,66.55,85.22,83.03
2017-12-12 00:00:00-05:00,1165.56,199.09,65.96,85.62,82.77
2017-12-13 00:00:00-05:00,1164.48,197.47,65.85,85.35,83.17
2017-12-14 00:00:00-05:00,1175.06,196.66,65.05,84.72,82.93
2017-12-15 00:00:00-05:00,1178.98,197.57,65.0,86.82,82.99
2017-12-18 00:00:00-05:00,1190.8,199.54,65.64,86.44,82.95
2017-12-19 00:00:00-05:00,1187.43,197.82,65.47,85.83,82.43
2017-12-20 00:00:00-05:00,1177.29,197.82,66.87,85.59,82.87
2017-12-21 00:00:00-05:00,1174.87,198.91,67.65,85.57,83.87
2017-12-22 00:00:00-05:00,1168.33,197.99,68.09,85.58,83.97
2017-12-26 00:00:00-05:00,1176.94,197.55,68.15,85.4,83.97
2017-12-27 00:00:00-05:00,1181.81,198.65,68.29,85.69,83.88
2017-12-28 00:00:00-05:00,1185.99,199.46,68.02,85.7,83.99
2017-12-29 00:00:00-05:00,1169.54,198.68,68.0,85.59,83.8
2018-01-02 00:00:00-05:00,1189.0,197.23,67.99,85.91,85.0457
2018-01-03 00:00:00-05:00,1202.74,199.76,67.66,86.33,86.7
2018-01-04 00:00:00-05:00,1209.64,200.63,68.72,87.12,86.81
2018-01-05 00:00:00-05:00,1229.07,201.17,68.93,88.11,86.69
2018-01-08 00:00:00-05:00,1246.95,202.74,69.15,88.22,87.08
2018-01-09 00:00:00-05:00,1253.12,203.07,68.77,88.23,86.81
2018-01-10 00:00:00-05:00,1254.29,205.56,67.02,87.81,86.07
2018-01-11 00:00:00-05:00,1276.77,206.67,65.97,88.06,86.91
2018-01-12 00:00:00-05:00,1305.2,210.2,64.7,89.59,87.51
2018-01-16 00:00:00-05:00,1305.16,210.41,65.94,88.38,86.93
2018-01-17 00:00:00-05:00,1295.0,214.21,66.5,90.15,88.02
2018-01-18 00:00:00-05:00,1293.22,213.26,65.81,90.12,87.44
2018-01-19 00:00:00-05:00,1294.58,213.26,66.62,90.0,87.14
2018-01-22 00:00:00-05:00,1327.45,215.95,67.17,91.61,88.29
2018-01-23 00:00:00-05:00,1363.05,215.69,66.95,91.89,88.31
2018-01-24 00:00:00-05:00,1357.51,215.73,67.33,91.84,88.57
2018-01-25 00:00:00-05:00,1377.31,215.2,67.92,92.32,88.39
2018-01-26 00:00:00-05:00,1401.19,217.13,68.34,94.04,88.98
2018-01-29 00:00:00-05:00,1417.68,215.45,67.76,93.87,88.02
2018-01-30 00:00:00-05:00,1438.19,214.31,67.94,92.77,86.79
2018-01-31 00:00:00-05:00,1451.39,214.57,68.1,95.2,87.32
2018-02-01 00:00:00-05:00,1388.71,217.32,68.31,94.24,89.11
2018-02-02 00:00:00-05:00,1429.87,208.52,65.45,91.76,84.29
2018-02-05 00:00:00-05:00,1390.0,196.65,64.09,88.0,79.72
2018-02-06 00:00:00-05:00,1442.84,201.37,65.16,91.34,78.35
2018-02-07 00:00:00-05:00,1415.15,200.14,64.24,89.58,76.93
2018-02-08 00:00:00-05:00,1350.51,191.33,65.99,84.99,76.0399
2018-02-09 00:00:00-05:00,1339.34,195.99,67.36,88.15,75.8
2018-02-12 00:00:00-05:00,1386.97,198.79,67.07,89.15,76.37
2018-02-13 00:00:00-05:00,1413.66,198.0,67.5,89.781,76.31
2018-02-14 00:00:00-05:00,1451.08,200.61,67.76,90.83,76.46
2018-02-15 00:00:00-05:00,1461.76,203.89,69.82,92.72,76.22
2018-02-16 00:00:00-05:00,1448.59,203.87,69.66,91.93,76.55
2018-02-20 00:00:00-05:00,1468.36,202.94,69.66,92.72,75.73
2018-02-21 00:00:00-05:00,1482.92,201.02,68.3,91.5,74.9
2018-02-22 00:00:00-05:00,1484.59,200.66,68.25,91.74,75.87
2018-02-23 00:00:00-05:00,1500.0,202.88,68.54,94.07,77.54
2018-02-26 00:00:00-05:00,1521.95,210.77,68.95,95.43,78.87
2018-02-27 00:00:00-05:00,1512.0,209.68,67.11,94.21,77.52
2018-02-28 00:00:00-05:00,1512.45,207.04,66.19,93.77,75.7
2018-03-01 00:00:00-05:00,1492.0,201.43,66.89,92.84,75.15
2018-03-02 00:00:00-05:00,1500.21,201.27,67.68,93.04,75.55
2018-03-05 00:00:00-05:00,1523.61,203.26,69.15,93.64,76.27
2018-03-06 00:00:00-05:00,1537.18,204.51,69.85,93.32,76.19
2018-03-07 00:00:00-05:00,1544.9,204.3448,69.31,93.86,74.28
2018-03-08 00:00:00-05:00,1551.67,205.25,69.63,94.43,74.13
2018-03-09 00:00:00-05:00,1578.94,212.92,70.25,96.54,74.54
2018-03-12 00:00:00-04:00,1598.5,212.0,69.84,96.76,75.25
2018-03-13 00:00:00-04:00,1588.13,209.17,69.64,94.42,74.53
2018-03-14 00:00:00-04:00,1591.0,207.0,69.01,93.85,73.64
2018-03-15 00:00:00-04:00,1582.75,207.82,66.99,94.18,74.43
2018-03-16 00:00:00-04:00,1571.69,206.59,66.37,94.49,74.93
2018-03-19 00:00:00-04:00,1545.58,203.93,66.36,92.96,74.17
2018-03-20 00:00:00-04:00,1586.52,204.8,66.24,93.14,74.0
2018-03-21 00:00:00-04:00,1582.93,204.85,63.68,92.48,75.02
2018-03-22 00:00:00-04:00,1544.92,197.64,63.37,89.8,73.5
2018-03-23 00:00:00-04:00,1495.55,192.35,62.96,87.13,72.89
2018-03-26 00:00:00-04:00,1555.87,199.32,64.14,93.77,74.02
2018-03-27 00:00:00-04:00,1497.12,196.12,64.39,89.48,73.69
2018-03-28 00:00:00-04:00,1429.19,196.58,63.89,89.38,72.83
2018-03-29 00:00:00-04:00,1445.96,199.51,65.0,91.25,74.62
2018-04-02 00:00:00-04:00,1371.92,194.95,63.13,88.67,73.2
2018-04-03 00:00:00-04:00,1392.05,197.95,63.36,89.72,75.01
2018-04-04 00:00:00-04:00,1410.58,200.11,64.92,92.27,74.89
2018-04-05 00:00:00-04:00,1451.75,200.82,64.56,92.38,76.01
2018-04-06 00:00:00-04:00,1405.21,195.49,64.22,90.22,74.87
2018-04-09 00:00:00-04:00,1405.91,195.42,64.47,90.78,74.89
2018-04-10 00:00:00-04:00,1436.26,197.88,63.62,92.89,77.07
2018-04-11 00:00:00-04:00,1427.29,195.26,63.35,91.87,77.42
2018-04-12 00:00:00-04:00,1448.48,198.16,62.625,93.6,77.2399
2018-04-13 00:00:00-04:00,1431.11,197.0,63.049,93.08,77.84
2018-04-16 00:00:00-04:00,1440.63,198.26,63.83,94.17,78.54
2018-04-17 00:00:00-04:00,1503.63,199.26,63.78,96.06,78.33
2018-04-18 00:00:00-04:00,1527.85,199.49,63.4,96.45,79.23
2018-04-19 00:00:00-04:00,1556.73,200.38,62.19,96.1,79.41
2018-04-20 00:00:00-04:00,1527.5,200.1,60.27,95.0,79.0
2018-04-23 00:00:00-04:00,1517.85,199.41,60.51,95.36,79.56
2018-04-24 00:00:00-04:00,1460.61,196.77,60.46,93.08,78.35
2018-04-25 00:00:00-04:00,1461.74,196.73,60.97,92.44,79.5
2018-04-26 00:00:00-04:00,1519.28,196.97,60.1,94.27,80.85
2018-04-27 00:00:00-04:00,1572.76,197.2,60.24,95.82,77.7608
2018-04-30 00:00:00-04:00,1566.13,193.62,58.89,93.52,77.78
2018-05-01 00:00:00-04:00,1582.26,195.07,58.67,94.98,76.91
2018-05-02 00:00:00-04:00,1570.53,193.32,56.65,93.51,76.77
2018-05-03 00:00:00-04:00,1570.8,191.54,58.15,94.07,76.535
2018-05-04 00:00:00-04:00,1580.99,195.83,59.8,95.16,76.9
2018-05-07 00:00:00-04:00,1599.86,197.12,60.49,96.24,77.71
2018-05-08 00:00:00-04:00,1592.39,196.22,60.29,95.84,78.1
2018-05-09 00:00:00-04:00,1606.87,199.81,60.31,96.83,79.94
2018-05-10 00:00:00-04:00,1609.42,201.02,61.04,97.9,81.75
2018-05-11 00:00:00-04:00,1603.32,199.27,61.4,97.71,81.27
2018-05-14 00:00:00-04:00,1602.0,199.14,61.65,98.04,81.89
2018-05-15 00:00:00-04:00,1576.5,197.32,61.23,97.32,81.79
2018-05-16 00:00:00-04:00,1587.75,197.84,61.49,97.15,82.01
2018-05-17 00:00:00-04:00,1581.37,197.38,61.18,96.18,81.89
2018-05-18 00:00:00-04:00,1574.5,196.0651,60.19,96.36,81.3
2018-05-21 00:00:00-04:00,1585.66,197.91,60.77,97.64,82.3
2018-05-22 00:00:00-04:00,1581.39,198.13,61.53,97.57,81.66
2018-05-23 00:00:00-04:00,1601.86,195.93,62.23,98.72,82.14
2018-05-24 00:00:00-04:00,1603.48,194.79,63.45,98.32,80.26
2018-05-25 00:00:00-04:00,1609.62,194.11,65.24,98.38,78.7
2018-05-29 00:00:00-04:00,1612.88,189.7744,64.57,98.01,78.4
2018-05-30 00:00:00-04:00,1625.87,194.11,65.98,98.91,81.51
2018-05-31 00:00:00-04:00,1630.14,191.5991,64.39,98.86,81.24
2018-06-01 00:00:00-04:00,1642.91,192.13,63.84,100.76,81.82
2018-06-04 00:00:00-04:00,1665.4,191.51,64.61,101.66,80.96
2018-06-05 00:00:00-04:00,1696.48,190.79,63.26,102.2,80.7
2018-06-06 00:00:00-04:00,1697.78,193.99,62.92,102.57,82.06
2018-06-07 00:00:00-04:00,1689.27,195.52,62.27,100.92,82.85
2018-06-08 00:00:00-04:00,1682.52,196.05,63.72,101.63,83.58
2018-06-11 00:00:00-04:00,1689.62,195.38,65.46,101.08,83.14
2018-06-12 00:00:00-04:00,1698.73,195.26,65.7,101.3,82.42
2018-06-13 00:00:00-04:00,1704.81,194.59,65.77,100.9,81.53
2018-06-14 00:00:00-04:00,1723.75,192.56,66.61,101.42,81.96
2018-06-15 00:00:00-04:00,1716.26,191.88,67.07,100.22,80.67
2018-06-18 00:00:00-04:00,1724.83,191.07,66.26,100.88,80.83
2018-06-19 00:00:00-04:00,1736.01,190.36,66.59,100.88,80.7
2018-06-20 00:00:00-04:00,1750.07,189.43,66.71,101.95,80.47
2018-06-21 00:00:00-04:00,1730.2,188.85,66.83,101.15,79.69
2018-06-22 00:00:00-04:00,1715.06,188.91,67.4,100.3,81.39
2018-06-25 00:00:00-04:00,1663.17,186.71,69.03,98.39,79.73
2018-06-26 00:00:00-04:00,1691.19,186.33,68.67,99.07,80.63
2018-06-27 00:00:00-04:00,1660.0,184.82,69.21,97.54,81.71
2018-06-28 00:00:00-04:00,1701.5,187.1,69.68,98.63,81.97
2018-06-29 00:00:00-04:00,1699.67,186.73,69.88,98.61,82.83
2018-07-02 00:00:00-04:00,1713.75,187.6,69.6,100.02,81.72
2018-07-03 00:00:00-04:00,1694.88,186.11,69.36,99.07,82.34
2018-07-05 00:00:00-04:00,1699.56,187.53,71.54,99.77,82.33
2018-07-06 00:00:00-04:00,1711.01,187.45,71.84,101.17,82.32
2018-07-09 00:00:00-04:00,1739.03,189.7,70.47,101.87,82.89
2018-07-10 00:00:00-04:00,1743.35,189.85,70.63,102.06,83.66
2018-07-11 00:00:00-04:00,1755.53,189.91,70.33,102.02,82.57
2018-07-12 00:00:00-04:00,1796.6,189.95,70.68,104.16,82.67
2018-07-13 00:00:00-04:00,1813.2,190.97,71.18,105.42,83.31
2018-07-16 00:00:00-04:00,1822.49,192.0,70.59,104.92,82.48
2018-07-17 00:00:00-04:00,1844.0,190.47,70.65,105.95,82.33
2018-07-18 00:00:00-04:00,1842.47,200.46,68.95,105.1,82.23
2018-07-19 00:00:00-04:00,1813.68,197.47,69.6,104.73,82.01
2018-07-20 00:00:00-04:00,1813.68,196.77,70.19,106.28,81.4
2018-07-23 00:00:00-04:00,1802.0,197.81,69.85,107.963,81.4
2018-07-24 00:00:00-04:00,1829.28,198.45,70.18,107.63,83.01
2018-07-25 00:00:00-04:00,1863.8,197.61,70.85,110.82,83.6
2018-07-26 00:00:00-04:00,1805.22,197.46,70.89,109.61,84.23
2018-07-27 00:00:00-04:00,1817.99,197.99,71.4,107.67,81.92
2018-07-30 00:00:00-04:00,1779.28,199.18,71.33,105.38,81.74
2018-07-31 00:00:00-04:00,1777.41,197.82,71.03,106.1,81.52
2018-08-01 00:00:00-04:00,1797.05,197.88,69.44,106.28,80.42
2018-08-02 00:00:00-04:00,1834.21,198.09,69.87,107.56,79.9157
2018-08-03 00:00:00-04:00,1822.93,200.4,72.14,108.03,80.16
2018-08-06 00:00:00-04:00,1847.68,206.22,72.2,108.13,80.16
2018-08-07 00:00:00-04:00,1862.7,208.86,71.9,108.87,81.28
2018-08-08 00:00:00-04:00,1886.52,208.91,71.02,109.48,80.72
2018-08-09 00:00:00-04:00,1898.13,209.0,71.31,109.67,80.3197
2018-08-10 00:00:00-04:00,1886.0,206.53,71.37,109.01,79.44
2018-08-13 00:00:00-04:00,1895.65,205.17,71.01,108.22,78.59
2018-08-14 00:00:00-04:00,1919.86,205.81,71.54,109.57,78.315
2018-08-15 00:00:00-04:00,1882.37,204.5,72.09,107.68,76.94
2018-08-16 00:00:00-04:00,1887.47,207.57,72.71,107.64,77.93
2018-08-17 00:00:00-04:00,1882.22,208.14,73.63,107.58,78.26
2018-08-20 00:00:00-04:00,1877.24,208.44,73.72,106.87,78.81
2018-08-21 00:00:00-04:00,1883.64,208.36,72.22,105.98,78.82
2018-08-22 00:00:00-04:00,1905.45,207.2,72.15,107.07,79.96
2018-08-23 00:00:00-04:00,1902.8,207.24,72.11,107.56,79.09
2018-08-24 00:00:00-04:00,1905.43,207.93,72.45,108.4,79.61
2018-08-27 00:00:00-04:00,1927.62,210.41,72.02,109.6,80.395
2018-08-28 00:00:00-04:00,1933.0,210.98,71.48,110.32,80.28
2018-08-29 00:00:00-04:00,1998.38,211.22,71.81,112.02,80.86
2018-08-30 00:00:00-04:00,2002.22,209.75,71.74,111.95,80.5
2018-08-31 00:00:00-04:00,2013.83,208.49,71.78,112.33,80.13
2018-09-04 00:00:00-04:00,2039.58,209.98,71.91,111.74,80.31
2018-09-05 00:00:00-04:00,1995.0,212.27,72.7,108.51,81.37
2018-09-06 00:00:00-04:00,1958.365,212.9,73.64,108.75,80.47
2018-09-07 00:00:00-04:00,1952.2,214.08,74.09,108.29,81.84
2018-09-10 00:00:00-04:00,1941.81,215.15,74.02,109.44,81.72
2018-09-11 00:00:00-04:00,1987.61,215.17,73.47,111.26,82.86
2018-09-12 00:00:00-04:00,1990.07,214.61,74.44,111.67,83.12
2018-09-13 00:00:00-04:00,1990.0,214.86,74.81,112.91,82.3
2018-09-14 00:00:00-04:00,1970.19,216.365,74.84,113.35,82.92
2018-09-17 00:00:00-04:00,1908.03,216.46,74.7,112.18,83.41
2018-09-18 00:00:00-04:00,1941.59,218.32,73.37,113.22,83.65
2018-09-19 00:00:00-04:00,1926.28,220.97,72.4,111.7,84.57
2018-09-20 00:00:00-04:00,1944.3,221.77,72.8,113.58,84.82
2018-09-21 00:00:00-04:00,1915.01,220.57,73.17,114.81,85.15
2018-09-24 00:00:00-04:00,1934.35,218.11,72.34,114.67,86.6
2018-09-25 00:00:00-04:00,1974.55,218.06,72.09,114.46,86.49
2018-09-26 00:00:00-04:00,1974.85,216.35,71.9,114.13,85.79
2018-09-27 00:00:00-04:00,2012.98,216.72,70.01,114.44,85.775
2018-09-28 00:00:00-04:00,2002.57,214.11,70.0,114.49,85.02
2018-10-01 00:00:00-04:00,2004.36,214.78,69.89,115.59,85.83
2018-10-02 00:00:00-04:00,1970.0,215.23,70.43,115.14,86.45
2018-10-03 00:00:00-04:00,1952.76,216.51,68.66,115.16,86.14
2018-10-04 00:00:00-04:00,1910.32,218.92,69.15,112.85,85.57
2018-10-05 00:00:00-04:00,1889.58,219.46,69.37,112.12,85.34
2018-10-08 00:00:00-04:00,1864.42,222.34,70.26,110.86,86.18
2018-10-09 00:00:00-04:00,1870.32,223.74,68.99,112.26,86.51
2018-10-10 00:00:00-04:00,1755.25,213.15,68.73,106.26,84.61
2018-10-11 00:00:00-04:00,1719.36,205.18,67.62,105.92,81.6
2018-10-12 00:00:00-04:00,1788.61,206.7,67.9,109.54,81.36
2018-10-15 00:00:00-04:00,1760.95,204.99,68.66,107.54,80.82
2018-10-16 00:00:00-04:00,1820.15,209.7,69.85,110.89,81.17
2018-10-17 00:00:00-04:00,1831.73,210.52,69.65,110.72,81.49
2018-10-18 00:00:00-04:00,1770.72,208.79,69.58,108.51,81.87
2018-10-19 00:00:00-04:00,1764.03,209.72,71.16,108.55,81.97
2018-10-22 00:00:00-04:00,1789.005,206.09,70.57,109.63,81.14
2018-10-23 00:00:00-04:00,1768.25,203.87,71.17,108.11,79.83
2018-10-24 00:00:00-04:00,1659.63,199.97,71.45,102.38,77.62
2018-10-25 00:00:00-04:00,1782.0,201.92,70.52,108.3,78.31
2018-10-26 00:00:00-04:00,1638.28,198.31,69.14,106.96,77.54
2018-10-29 00:00:00-04:00,1538.6078,200.05,70.3,104.09,77.11
2018-10-30 00:00:00-04:00,1530.42,203.46,71.86,103.75,78.8
2018-10-31 00:00:00-04:00,1599.19,205.22,65.49,106.79,79.68
2018-11-01 00:00:00-04:00,1665.86,205.83,63.98,105.91,80.6
2018-11-02 00:00:00-04:00,1665.58,205.76,62.99,106.15,81.93
2018-11-05 00:00:00-05:00,1627.45,216.32,63.14,107.49,81.6
2018-11-06 00:00:00-05:00,1642.86,218.39,64.4,107.71,82.0
2018-11-07 00:00:00-05:00,1757.36,221.06,64.27,111.96,83.02
2018-11-08 00:00:00-05:00,1754.95,222.42,65.18,111.79,81.74
2018-11-09 00:00:00-05:00,1712.03,219.54,65.01,109.53,80.88
2018-11-12 00:00:00-05:00,1636.79,215.59,64.3,106.92,79.89
2018-11-13 00:00:00-05:00,1631.445,217.87,63.43,106.94,78.03
2018-11-14 00:00:00-05:00,1600.1,216.15,62.46,105.01,77.43
2018-11-15 00:00:00-05:00,1620.0,217.57,62.53,107.38,78.18
2018-11-16 00:00:00-05:00,1593.59,218.5,61.76,108.37,78.99
2018-11-19 00:00:00-05:00,1512.7,217.9192,61.68,104.6,79.24
2018-11-20 00:00:00-05:00,1495.46,210.43,61.7,101.71,76.95
2018-11-21 00:00:00-05:00,1516.4,210.82,61.9,103.08,77.56
2018-11-23 00:00:00-05:00,1502.08,207.08,61.73,103.02,75.49
2018-11-26 00:00:00-05:00,1581.33,210.61,61.48,106.5,76.98
2018-11-27 00:00:00-05:00,1582.0,212.55,62.25,107.2,77.04
2018-11-28 00:00:00-05:00,1677.46,217.63,62.6,111.13,78.43
2018-11-29 00:00:00-05:00,1672.94,217.7,63.24,110.2,79.08
2018-11-30 00:00:00-05:00,1691.55,217.95,63.64,110.89,79.48
2018-12-03 00:00:00-05:00,1772.9,220.75,63.16,112.09,81.25
2018-12-04 00:00:00-05:00,1668.64,210.08,61.72,108.5,79.44
2018-12-06 00:00:00-05:00,1700.0,207.98,61.29,109.19,78.37
2018-12-07 00:00:00-05:00,1629.11,204.85,60.83,104.78,77.67
2018-12-10 00:00:00-05:00,1641.2,203.1,60.28,107.56,76.54
2018-12-11 00:00:00-05:00,1643.4,202.24,60.86,108.66,76.68
2018-12-12 00:00:00-05:00,1663.13,202.47,60.97,109.08,76.03
2018-12-13 00:00:00-05:00,1659.74,202.34,61.01,109.35,76.94
2018-12-14 00:00:00-05:00,1591.92,200.17,60.36,106.02,75.62
2018-12-17 00:00:00-05:00,1519.75,197.92,59.21,102.93,74.01
2018-12-18 00:00:00-05:00,1551.11,196.46,58.84,103.94,71.9969
2018-12-19 00:00:00-05:00,1494.83,195.14,58.69,103.71,70.78
2018-12-20 00:00:00-05:00,1460.83,193.58,57.3,101.42,68.62
2018-12-21 00:00:00-05:00,1376.73,192.05,57.6,98.07,68.14
2018-12-24 00:00:00-05:00,1342.91,187.87,55.84,94.04,65.55
2018-12-26 00:00:00-05:00,1470.81,197.85,57.15,100.53,68.64
2018-12-27 00:00:00-05:00,1462.0,199.96,57.12,101.05,68.93
2018-12-28 00:00:00-05:00,1475.18,201.91,57.2601,100.3487,68.13
2018-12-31 00:00:00-05:00,1492.38,202.89,56.99,100.83,67.93
2019-01-02 00:00:00-05:00,1536.73,202.341,56.61,101.01,69.63
2019-01-03 00:00:00-05:00,1502.07,191.9199,56.78,97.5,68.82
2019-01-04 00:00:00-05:00,1574.54,195.23,57.18,101.775,71.105
2019-01-07 00:00:00-05:00,1631.12,196.68,57.49,102.15,71.595
2019-01-08 00:00:00-05:00,1655.835,196.36,57.9,102.73,72.08
2019-01-09 00:00:00-05:00,1657.59,196.13,58.07,104.25,72.37
2019-01-10 00:00:00-05:00,1655.5,196.6,58.315,103.57,72.0
2019-01-11 00:00:00-05:00,1639.66,195.946,58.575,102.81,71.605
2019-01-14 00:00:00-05:00,1619.8767,195.37,58.42,102.12,71.61
2019-01-15 00:00:00-05:00,1672.75,196.67,59.345,104.78,71.51
2019-01-16 00:00:00-05:00,1681.9703,198.42,59.08,105.39,71.75
2019-01-17 00:00:00-05:00,1691.37,198.48,59.29,106.1,72.1
2019-01-18 00:00:00-05:00,1693.2421,204.1,59.3,107.6,72.905
2019-01-22 00:00:00-05:00,1628.398,199.68,58.615,105.315,71.745
2019-01-23 00:00:00-05:00,1636.55,200.84,59.04,106.54,71.32
2019-01-24 00:00:00-05:00,1654.97,201.05,57.65,106.23,71.295
2019-01-25 00:00:00-05:00,1668.6,202.47,57.79,106.95,71.64
2019-01-28 00:00:00-05:00,1636.185,200.68,58.125,105.015,71.23
2019-01-29 00:00:00-05:00,1592.73,201.74,58.13,102.89,71.545
2019-01-30 00:00:00-05:00,1670.2312,205.81,57.905,106.28,72.35
2019-01-31 00:00:00-05:00,1720.41,207.57,59.0,104.4575,73.185
2019-02-01 00:00:00-05:00,1623.8,209.02,58.7,102.625,75.86
2019-02-04 00:00:00-05:00,1630.5,208.23,58.895,105.62,74.83
2019-02-05 00:00:00-05:00,1656.87,207.5,59.15,107.11,75.54
2019-02-06 00:00:00-05:00,1639.42,205.88,59.23,106.06,75.285
2019-02-07 00:00:00-05:00,1611.6058,201.425,55.8501,105.19,74.645
2019-02-08 00:00:00-05:00,1585.7397,200.62,55.095,105.42,73.835
2019-02-11 00:00:00-05:00,1591.8,203.0814,55.67,105.255,74.175
2019-02-12 00:00:00-05:00,1637.89,205.92,56.5701,106.835,75.345
2019-02-13 00:00:00-05:00,1640.3726,205.78,56.98,106.785,76.175
2019-02-14 00:00:00-05:00,1623.8774,202.73,56.61,106.96,76.21
2019-02-15 00:00:00-05:00,1607.5299,205.04,56.83,108.13,77.62
2019-02-19 00:00:00-05:00,1627.4731,205.67,57.4201,108.13,78.18
2019-02-20 00:00:00-05:00,1622.62,206.3,58.47,107.2,78.54
2019-02-21 00:00:00-05:00,1619.9,205.3,58.34,109.44,77.85
2019-02-22 00:00:00-05:00,1631.19,201.89,56.75,110.965,78.41
2019-02-25 00:00:00-05:00,1633.0,202.3,55.66,111.59,78.49
2019-02-26 00:00:00-05:00,1636.33,201.86,55.9,112.36,78.64
2019-02-27 00:00:00-05:00,1641.09,202.27,55.76,112.19,79.47
2019-02-28 00:00:00-05:00,1639.79,201.33,56.26,112.05,79.06
2019-03-01 00:00:00-05:00,1671.26,203.22,56.83,112.52,79.99
2019-03-04 00:00:00-05:00,1696.16,202.03,54.61,112.28,80.33
2019-03-05 00:00:00-05:00,1691.81,201.42,54.78,111.68,80.18
2019-03-06 00:00:00-05:00,1669.16,200.74,54.47,111.74,79.2895
2019-03-07 00:00:00-05:00,1626.28,199.3,54.31,110.38,80.15
2019-03-08 00:00:00-05:00,1622.11,198.68,54.56,110.52,79.02
2019-03-11 00:00:00-04:00,1670.32,202.05,54.15,112.83,79.78
2019-03-12 00:00:00-04:00,1672.42,202.63,54.17,113.64,80.04
2019-03-13 00:00:00-04:00,1690.8,204.05,53.61,114.51,80.7
2019-03-14 00:00:00-04:00,1685.29,203.39,53.81,114.57,80.45
2019-03-15 00:00:00-04:00,1712.91,204.29,54.28,115.9,80.16
